Trace
Swept SA
A.17.55,N9010A
19611555777.8889,-58.2471563626973
19616558279.1396,-58.2034183792342
19621560780.3902,-58.2058479162155
19626563281.6408,-58.2207375268735
19631565782.8914,-58.2069387124835
19636568284.1421,-58.2229000461717
19641570785.3927,-58.3288249362419
19646573286.6433,-58.3595386044202
19651575787.8939,-58.4579697909516
19656578289.1446,-58.5182066792038
19661580790.3952,-58.5453510974423
19666583291.6458,-58.5852768670785
19671585792.8964,-58.5955365747952
19676588294.1471,-58.5984965012465
19681590795.3977,-58.5587013319445
19686593296.6483,-58.4613955659516
19691595797.8989,-58.3853235160815
19696598299.1496,-58.3215620065597
19701600800.4002,-58.2079717207311
19706603301.6508,-58.098904172966
19711605802.9015,-58.1198236009742
19716608304.1521,-58.1878808099725
19721610805.4027,-58.3111063434472
19726613306.6533,-58.3603812359871
19731615807.904,-58.5465342116046
19736618309.1546,-58.6404686135927
19741620810.4052,-58.7697086943784
19746623311.6558,-58.8999519236868
19751625812.9065,-58.974545780346
19756628314.1571,-58.9407003248874
19761630815.4077,-58.9493951457671
19766633316.6583,-58.8255552525092
19771635817.909,-58.6744458373429
19776638319.1596,-58.5709452191084
19781640820.4102,-58.465229391441
19786643321.6608,-58.4504726608404
19791645822.9115,-58.3615257422446
19796648324.1621,-58.3856639911109
19801650825.4127,-58.5250331828124
19806653326.6633,-58.6540813786223
19811655827.914,-58.7113564608948
19816658329.1646,-58.8912065583762
19821660830.4152,-58.9919280165601
19826663331.6658,-59.0624099230983
19831665832.9165,-59.2299046436904
19836668334.1671,-59.2517759303377
19841670835.4177,-59.2244265765618
19846673336.6683,-59.2485559084997
19851675837.919,-59.2132047263362
19856678339.1696,-59.1398154653088
19861680840.4202,-59.0558916272473
19866683341.6708,-59.1655315028682
19871685842.9215,-59.1036361065319
19876688344.1721,-59.2107687798454
19881690845.4227,-59.3061162562865
19886693346.6733,-59.4588438848106
19891695847.924,-59.5698898005251
19896698349.1746,-59.8129816095998
19901700850.4252,-59.9642478103872
19906703351.6758,-60.2075486324567
19911705852.9265,-60.3866666576186
19916708354.1771,-60.4594956960387
19921710855.4277,-60.5892349039678
19926713356.6783,-60.6641281414489
19931715857.929,-60.7230863258075
19936718359.1796,-60.6557473612933
19941720860.4302,-60.5930417305
19946723361.6808,-60.5057199793184
19951725862.9315,-60.4860213286236
19956728364.1821,-60.3876359366809
19961730865.4327,-60.2875655236603
19966733366.6833,-60.2550507732075
19971735867.934,-60.2575014531277
19976738369.1846,-60.3343793677192
19981740870.4352,-60.3505905811029
19986743371.6858,-60.4615511158053
19991745872.9365,-60.591475773907
19996748374.1871,-60.7756083742648
20001750875.4377,-60.7966602628279
20006753376.6883,-60.8977300941779
20011755877.939,-60.9386721075826
20016758379.1896,-60.9677803897128
20021760880.4402,-60.9843277709733
20026763381.6908,-60.9533813031664
20031765882.9415,-60.8238598300659
20036768384.1921,-60.7065369974741
20041770885.4427,-60.6055589803151
20046773386.6933,-60.4422197912244
20051775887.944,-60.3225877191106
20056778389.1946,-60.2600400132359
20061780890.4452,-60.1638726526115
20066783391.6958,-60.185349805634
20071785892.9465,-60.1592239315722
20076788394.1971,-60.1870386934739
20081790895.4477,-60.2492863307434
20086793396.6983,-60.2746837759547
20091795897.949,-60.2832890784535
20096798399.1996,-60.3354891456729
20101800900.4502,-60.3468706559366
20106803401.7009,-60.3473569095443
20111805902.9515,-60.3156629137817
20116808404.2021,-60.2509022111862
20121810905.4527,-60.1348768544995
20126813406.7034,-60.0253628164332
20131815907.954,-59.8565245505849
20136818409.2046,-59.6401972737494
20141820910.4552,-59.4975359971098
20146823411.7059,-59.1917643136165
20151825912.9565,-59.0359405166258
20156828414.2071,-58.880343004782
20161830915.4577,-58.7230104732088
20166833416.7084,-58.688558662985
20171835917.959,-58.6500707606091
20176838419.2096,-58.660629096045
20181840920.4602,-58.7270525000489
20186843421.7109,-58.7055628737194
20191845922.9615,-58.7922126461065
20196848424.2121,-58.8914827272707
20201850925.4627,-58.9035768328088
20206853426.7134,-58.8778284798784
20211855927.964,-58.8056674523915
20216858429.2146,-58.7411099857214
20221860930.4652,-58.7126840128406
20226863431.7159,-58.451941161868
20231865932.9665,-58.3075419024026
20236868434.2171,-58.2237559535957
20241870935.4677,-58.0720963353095
20246873436.7184,-58.0240881786761
20251875937.969,-58.0034316764633
20256878439.2196,-58.087304076149
20261880940.4702,-58.2162338054036
20266883441.7209,-58.3331869371547
20271885942.9715,-58.4710026484873
20276888444.2221,-58.5198598884703
20281890945.4727,-58.4978337476158
20286893446.7234,-58.4088844873838
20291895947.974,-58.2714817801738
20296898449.2246,-58.0242257490552
20301900950.4752,-57.8190104147653
20306903451.7259,-57.6330722762297
20311905952.9765,-57.4701880268761
20316908454.2271,-57.1969025888176
20321910955.4777,-56.9495660027252
20326913456.7284,-56.7298446059162
20331915957.979,-56.6745740408208
20336918459.2296,-56.5647602157585
20341920960.4802,-56.6190822501859
20346923461.7309,-56.6796117708644
20351925962.9815,-56.8845194359429
20356928464.2321,-57.0469776105316
20361930965.4827,-57.2378031068226
20366933466.7334,-57.5567597552034
20371935967.984,-57.7196537217869
20376938469.2346,-57.9231610263046
20381940970.4852,-58.060761708477
20386943471.7359,-58.2190141219258
20391945972.9865,-58.27198598276
20396948474.2371,-58.2102582213717
20401950975.4877,-58.2076770940794
20406953476.7384,-58.1009091581958
20411955977.989,-58.0263258378677
20416958479.2396,-58.0182405358467
20421960980.4902,-57.9537049207595
20426963481.7409,-58.0375718233306
20431965982.9915,-58.1111202630194
20436968484.2421,-58.2013993991219
20441970985.4927,-58.3306045363161
20446973486.7434,-58.6016858009688
20451975987.994,-58.6968738680304
20456978489.2446,-58.937965641223
20461980990.4952,-59.1560001062986
20466983491.7459,-59.2080814567605
20471985992.9965,-59.254663013528
20476988494.2471,-59.4401091347141
20481990995.4977,-59.3740314088029
20486993496.7484,-59.3806641915662
20491995997.999,-59.3308263515066
20496998499.2496,-59.3295973863757
